SlideName	ScanLabel	ROILabel	SegmentLabel	SegmentDisplayName	KO	Small	WT	Large	Small-WT	Large-KO	CTRL	Small-CTRL	Large-CTRL	Outside	QCFlags	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	AlignedReads	DeduplicatedReads	TrimmedReads	StitchedReads	SequencingSaturation	SequencingSetID	UMIQ30	RTSQ30	GeoMxNgsPipelineVersion	LOT_Mouse_NGS_Whole_Transcriptome_Atlas_RNA	Scan_ID_1	ROI_ID_1	LOT_Mouse_NGS_Whole_Transcriptome_Atlas_RNA_1	Mouse_Number	Genotype	Type_of_Vessel	Scan_ID_2	ROI_ID_2	LOT_Mouse_NGS_Whole_Transcriptome_Atlas_RNA_2	Mouse_Number_1	ROIID	SegmentID	LOQ (Mouse NGS Whole Transcriptome Atlas RNA)	NormalizationFactor	ExpressionFilteringThreshold (Mouse NGS Whole Transcriptome Atlas RNA)
B022-A-mouseWTA	B022-A-mouseWTA	001	CD31	B022-A-mouseWTA | 001 | CD31	True	True	False	False	False	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	4495.309917	0	28454	5251	1014045	963141	188050	1010074	1007551	81.45545809		0.9942	0.9939	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	001	MWTA12001	1	KO	Small	B022-A-mouseWTA	001	MWTA12001	1	1e017e95-d352-44dd-aa46-491914483df7	59102eb8-2c9d-4cca-a42a-7c8f1c914835	12.68075627	1.230239381	12.68075627
B022-A-mouseWTA	B022-A-mouseWTA	002	CD31	B022-A-mouseWTA | 002 | CD31	False	False	True	True	False	False	False	False	False	False	"Low Nuclei Count,Low Surface Area"	12126.39433	0	29840.96484	38542.87109	1528620	1452056	377016	1523620	1520451	75.33618558		0.9944	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	002	MWTA12001	2	WT	Large	B022-A-mouseWTA	002	MWTA12001	2	8315d39b-d0aa-4116-a7fa-50b28bb2b8a0	4da9d9d9-ecf3-4c0a-9ee6-32601c722f5e	23.27813792	0.709753489	23.27813792
B022-A-mouseWTA	B022-A-mouseWTA	003	CD31	B022-A-mouseWTA | 003 | CD31	False	False	True	True	False	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	12158.52186	1	28907	36584	1377004	1305716	363002	1371963	1369109	73.63827556		0.9947	0.9943	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	003	MWTA12001	2	WT	Large	B022-A-mouseWTA	003	MWTA12001	2	293b1ee2-b7be-4593-8629-b45c54840075	2e3f37ae-5b9f-4b4f-b80f-db542ff593f8	19.21853459	0.709753489	19.21853459
B022-A-mouseWTA	B022-A-mouseWTA	005	CD31	B022-A-mouseWTA | 005 | CD31	False	False	True	True	False	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	11066.98097	0	33719	34981	2070587	1982462	349457	2063432	2058959	83.12280527		0.994	0.9936	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	005	MWTA12001	2	WT	Large	B022-A-mouseWTA	005	MWTA12001	2	f09ff3ed-5e05-49dd-a824-0e6fbfb458ec	ec6f9c46-1ae2-4eb9-9b71-91316340fae8	22.27593905	0.802330031	22.27593905
B022-A-mouseWTA	B022-A-mouseWTA	006	CD31	B022-A-mouseWTA | 006 | CD31	False	False	True	False	True	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	5138.973915	0	32997.70703	32779.67969	1044431	995336	207825	1040888	1038217	80.10160556		0.9937	0.9933	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	006	MWTA12001	2	WT	Small-WT	B022-A-mouseWTA	006	MWTA12001	2	b2889a25-089e-497a-985a-d9cac11b91fe	13e22bc2-8554-4636-8345-d70ed0a541bb	15.2158116	1.230239381	15.2158116
B022-A-mouseWTA	B022-A-mouseWTA	007	CD31	B022-A-mouseWTA | 007 | CD31	False	False	True	False	True	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	5135.952019	0	31350	32816	1146099	1096256	200197	1142389	1139510	82.53231178		0.9937	0.9933	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	007	MWTA12001	2	WT	Small-WT	B022-A-mouseWTA	007	MWTA12001	2	20e6212c-07d2-4909-ad55-a56bfa529b9b	4dde5e14-dbed-44e3-9abf-092f79449b1c	15.12150898	1.230239381	15.12150898
B022-A-mouseWTA	B022-A-mouseWTA	008	CD31	B022-A-mouseWTA | 008 | CD31	True	True	False	False	False	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	3976.657015	0	10515	53244	1252048	1186284	231777	1247605	1244351	81.48816978		0.9942	0.9937	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	008	MWTA12001	3	KO	Small	B022-A-mouseWTA	008	MWTA12001	3	946597f6-e5a9-400a-8db8-67d13adb19e4	fb79603d-f6e3-478e-abeb-1094526f5d53	14.41027235	0.971241616	14.41027235
B022-A-mouseWTA	B022-A-mouseWTA	009	CD31	B022-A-mouseWTA | 009 | CD31	False	False	True	False	True	False	False	False	False	False	"Low Nuclei Count,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	3011.399589	0	32364	36531	512871	484909	104375	507686	506355	79.64887857		0.9942	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	009	MWTA12001	2	WT	Small-WT	B022-A-mouseWTA	009	MWTA12001	2	01a942b3-1238-4198-8ff3-db2d2cd7ec70	94d16333-b71e-4fc3-92dc-a12564002f2f	9.395769882	2.306698839	9.395769882
B022-A-mouseWTA	B022-A-mouseWTA	010	CD31	B022-A-mouseWTA | 010 | CD31	True	True	False	False	False	False	False	False	False	False	"Low Nuclei Count,Low Sequencing Saturation,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	8930.659042	0	8812	53955	267331	253012	165040	266212	265564	38.26380031		0.9942	0.9938	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	010	MWTA12001	3	KO	Small	B022-A-mouseWTA	010	MWTA12001	3	161a574a-f280-41fa-8541-c91df27d939b	905acf47-3351-4652-8fd9-f0b0e69b754d	10.15807352	1.318113622	10.15807352
B022-A-mouseWTA	B022-A-mouseWTA	011	CD31	B022-A-mouseWTA | 011 | CD31	True	True	False	False	False	False	False	False	False	False	"Low Nuclei Count,Low Sequencing Saturation,Low Negative Probe Count for Probe Kit Mouse NGS Whole Transcriptome Atlas RNA,Low Surface Area"	12802.34491	1	7505	58873	470243	448411	301933	468519	467366	35.792133		0.9941	0.9936	"""GeoMx_NGS_Pipeline_ 2.0.0"""	MWTA12001	B022-A-mouseWTA	011	MWTA12001	3	KO	Small	B022-A-mouseWTA	011	MWTA12001	3	75e2d0e9-7306-4eb4-bf40-a5455771c597	a5b5a4d7-4696-4597-8aac-e2a0c933d569	19.43578946	0.768899613	19.43578946
