TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	MinCount	MaxCount	MedianCount	GeomeanCount	NumberOfProbesIncluded	NumberOfProbesTotal	GeneID
Kdm6b	Kdm6b	All Targets	RNA	Endogenous	01	4.613397677	23.98966792	10.14428157	9.988898346	1	1	216850
Dcaf11	Dcaf11	All Targets	RNA	Endogenous	01	3.690718142	22.55438864	11.42577396	10.68698443	1	1	28199
Trf	Trf	All Targets	RNA	Endogenous	01	2.636227244	63.43421806	11.30282431	11.45363109	1	1	22041
Gpbp1	Gpbp1	All Targets	RNA	Endogenous	01	1.677599155	21.52918916	11.30282431	10.48449039	1	1	73274
Uri1	Uri1	All Targets	RNA	Endogenous	01	7.097534888	33.21646327	15.65283297	15.20530548	1	1	19777
Tpp1	Tpp1	All Targets	RNA	Endogenous	01	2.636227244	20.13118986	9.086995425	8.790679848	1	1	12751
Psat1	Psat1	All Targets	RNA	Endogenous	01	5.827449697	35.17715729	15.65006443	16.38715468	1	1	107272
Apol10a	Apol10a	All Targets	RNA	Endogenous	01	1.537799226	24.60478761	10.16538316	9.80994512	1	1	245282
Dock9	Dock9	All Targets	RNA	Endogenous	01	11.35605582	28.57330174	19.12872208	19.10855827	1	1	105445
Rgs18	Rgs18	All Targets	RNA	Endogenous	01	5.272454488	24.60478761	14.10989936	13.58513512	1	1	64214
Kars	Kars	All Targets	RNA	Endogenous	01	3.690718142	22.71211164	12.56348026	11.86393013	1	1	85305
Tnfsf4	Tnfsf4	All Targets	RNA	Endogenous	01	2.306698839	17.18092928	10.65475178	9.143412362	1	1	22164
Ccdc91	Ccdc91	All Targets	RNA	Endogenous	01	1.942483232	20.18361484	9.226795354	8.56683866	1	1	67015
Hnrnpll	Hnrnpll	All Targets	RNA	Endogenous	01	1.845359071	16.14689187	10.87911154	10.46067504	1	1	72692
Ap1s1	Ap1s1	All Targets	RNA	Endogenous	01	3.954340866	25.65499196	12.7008519	12.88067545	1	1	11769
Slc30a1	Slc30a1	All Targets	RNA	Endogenous	01	6.920096516	28.02211922	17.74383722	16.98837307	1	1	22782
Rhbdf2	Rhbdf2	All Targets	RNA	Endogenous	01	5.67802791	19.99138993	12.46426741	12.62210024	1	1	217344
Rps7	Rps7	All Targets	RNA	Endogenous	01	38.70753173	235.2832815	107.0418927	107.1598912	1	1	20115
Rnf144a	Rnf144a	All Targets	RNA	Endogenous	01	2.839013955	25.83502699	12.04105047	11.18107063	1	1	108089
Mtmr6	Mtmr6	All Targets	RNA	Endogenous	01	2.839013955	24.2203378	10.76630515	10.23150423	1	1	219135
Sap30l	Sap30l	All Targets	RNA	Endogenous	01	6.798691314	30.31661331	15.23819233	14.71655142	1	1	50724
Ewsr1	Ewsr1	All Targets	RNA	Endogenous	01	3.075598451	25.83502699	12.30239381	11.88568373	1	1	14030
Ddx21	Ddx21	All Targets	RNA	Endogenous	01	2.636227244	24.60478761	9.539899756	8.749504096	1	1	56200
Serpina3f	Serpina3f	All Targets	RNA	Endogenous	01	3.690718142	30.75598451	12.98502663	12.95565784	1	1	238393
Fam13b	Fam13b	All Targets	RNA	Endogenous	01	5.536077212	23.98966792	13.91973437	12.94481968	1	1	225358
Thy1	Thy1	All Targets	RNA	Endogenous	01	9.226795354	73.81436283	25.43135469	24.72446448	1	1	21838
Vps52	Vps52	All Targets	RNA	Endogenous	01	1.537799226	17.10332797	8.294795823	7.833904385	1	1	224705
Tagln3	Tagln3	All Targets	RNA	Endogenous	01	3.075598451	24.73566414	7.915294342	7.758765492	1	1	56370
Plekha1	Plekha1	All Targets	RNA	Endogenous	01	6.920096516	29.52574513	15.61457675	15.37583801	1	1	101476
Ptpmt1	Ptpmt1	All Targets	RNA	Endogenous	01	5.272454488	24.2203378	11.80310834	11.83735077	1	1	66461
Cox6a1	Cox6a1	All Targets	RNA	Endogenous	01	18.45359071	93.44584231	42.62956892	42.27571069	1	1	12861
Cwf19l1	Cwf19l1	All Targets	RNA	Endogenous	01	6.710396621	23.98966792	11.35605582	12.05157769	1	1	72502
Mlx	Mlx	All Targets	RNA	Endogenous	01	2.306698839	33.21646327	10.16485288	9.860699542	1	1	21428
Prr23a2	"Prr23a1,Prr23a2"	All Targets	RNA	Endogenous	01	4.100797935	22.14430885	11.53349419	10.82034229	1	1	623186
Vmn1r216	Vmn1r216	All Targets	RNA	Endogenous	01	2.636227244	18.45359071	9.980813039	9.707063576	1	1	171279
Slc52a3	Slc52a3	All Targets	RNA	Endogenous	01	2.050398968	19.37627024	8.551963247	7.528215822	1	1	69698
Lims2	Lims2	All Targets	RNA	Endogenous	01	4.613397677	20.83469919	9.226795354	9.451788491	1	1	225341
Tmem159	Tmem159	All Targets	RNA	Endogenous	01	7.381436283	22.46524086	14.0964929	14.30403975	1	1	233806
Mcts1	Mcts1	All Targets	RNA	Endogenous	01	6.151196903	22.71211164	12.46426741	11.91010114	1	1	68995
Dnajc3	Dnajc3	All Targets	RNA	Endogenous	01	7.688996128	29.52574513	17.26179631	17.18737382	1	1	100037258
Lman2	Lman2	All Targets	RNA	Endogenous	01	6.535646709	45.42422328	21.06380255	19.03362199	1	1	66890
