TargetName	B022-A-mouseWTA | 001 | CD31	B022-A-mouseWTA | 002 | CD31	B022-A-mouseWTA | 003 | CD31	B022-A-mouseWTA | 005 | CD31	B022-A-mouseWTA | 006 | CD31	B022-A-mouseWTA | 007 | CD31	B022-A-mouseWTA | 008 | CD31	B022-A-mouseWTA | 009 | CD31	B022-A-mouseWTA | 010 | CD31	B022-A-mouseWTA | 011 | CD31	B022-A-mouseWTA | 013 | CD31	B022-A-mouseWTA | 014 | CD31	B022-A-mouseWTA | 015 | CD31	B022-A-mouseWTA | 016 | CD31	B022-A-mouseWTA | 017 | CD31	B022-A-mouseWTA | 018 | CD31	B022-A-mouseWTA | 019 | CD31	B022-A-mouseWTA | 020 | CD31	B022-A-mouseWTA | 021 | CD31	B022-A-mouseWTA | 022 | CD31	B022-A-mouseWTA | 023 | CD31	B022-B-mouseWTA | 001 | CD31	B022-B-mouseWTA | 002 | CD31	B022-B-mouseWTA | 003 | CD31	B022-B-mouseWTA | 004 | CD31	B022-B-mouseWTA | 005 | CD31	B022-B-mouseWTA | 006 | CD31	B022-B-mouseWTA | 007 | CD31	B022-B-mouseWTA | 008 | CD31	B022-B-mouseWTA | 009 | CD31	B022-B-mouseWTA | 010 | CD31	B022-B-mouseWTA | 011 | CD31	B022-B-mouseWTA | 012 | CD31	B022-B-mouseWTA | 013 | CD31	B022-B-mouseWTA | 014 | CD31	B022-B-mouseWTA | 015 | CD31	B022-B-mouseWTA | 016 | CD31	B022-B-mouseWTA | 017 | CD31	B022-B-mouseWTA | 018 | CD31	B022-B-mouseWTA | 019 | CD31	B022-B-mouseWTA | 020 | CD31	B022-B-mouseWTA | 021 | CD31
Kdm6b	8.611675664	13.48531629	4.968274421	8.825630339	6.151196903	11.07215442	15.53986586	13.84019303	17.13547709	18.45359071	9.226795354	13.69137375	11.07215442	15.37799226	11.07215442	8.20159587	6.151196903	7.381436283	15.81736346	23.98966792	9.544960711	15.50101619	4.613397677	8.517041865	8.20159587	5.272454488	9.936548843	13.84019303	13.97999296	9.226795354	9.870525263	10.76459458	10.68365778	6.458756748	4.613397677	5.032797466	11.61892748	7.26959634	8.650120644	19.04886783	10.3520143	10.99362851
Dcaf11	18.45359071	9.226795354	10.64630233	11.23262043	13.53263319	8.611675664	11.65489939	13.84019303	13.18113622	13.84019303	12.30239381	8.929156794	3.690718142	6.151196903	14.76287257	22.55438864	6.151196903	7.381436283	10.54490898	11.07215442	8.272299283	13.28658531	6.920096516	9.936548843	12.30239381	14.49924984	12.7755628	7.688996128	6.151196903	7.688996128	9.44137199	13.07129342	6.798691314	20.29894978	12.68684361	20.13118986	11.61892748	9.506395213	12.1101689	9.524433914	12.15236461	12.56414687
Trf	13.53263319	8.517041865	14.90482326	9.62796037	11.07215442	12.30239381	7.76993293	11.53349419	10.54490898	3.844498064	12.30239381	5.952771196	7.381436283	9.226795354	18.45359071	10.25199484	9.226795354	11.07215442	2.636227244	12.9175135	8.272299283	6.643292655	11.53349419	8.517041865	16.40319174	6.59056811	8.517041865	14.35279277	10.06559493	13.07129342	14.16205799	16.91579148	4.856208081	20.29894978	25.37368722	16.77599155	26.65518658	29.07838536	63.43421806	7.143325435	17.10332797	19.63147948
Gpbp1	13.53263319	14.90482326	4.968274421	12.03495046	11.07215442	14.76287257	15.53986586	9.226795354	11.8630226	7.688996128	12.30239381	8.333879675	9.226795354	21.52918916	5.536077212	12.30239381	7.688996128	18.45359071	13.18113622	5.536077212	13.99927571	8.85772354	11.53349419	14.19506978	10.25199484	7.908681732	12.7755628	14.35279277	9.506395213	13.84019303	9.870525263	9.226795354	9.712416162	14.76287257	11.53349419	1.677599155	10.93546116	10.06559493	8.650120644	10.71498815	14.85289008	12.95677645
Uri1	20.91406947	26.26087908	12.06580931	27.27922105	15.99311195	17.22335133	16.51110748	16.14689187	27.68038606	22.29808877	12.30239381	20.83469919	11.07215442	21.52918916	16.60823164	10.25199484	7.688996128	33.21646327	10.54490898	11.07215442	16.54459857	16.23915982	11.53349419	7.097534888	16.40319174	19.77170433	8.517041865	18.96619045	14.53919268	17.6846911	23.60342998	14.99354245	13.59738263	17.53091117	12.68684361	13.42079324	12.64412697	11.18399437	14.99354245	10.71498815	11.70227703	15.31255399
Tpp1	8.611675664	6.387781399	6.387781399	14.44194055	9.841915044	11.07215442	4.856208081	4.613397677	9.226795354	5.38229729	6.151196903	9.524433914	6.458756748	9.226795354	5.536077212	6.151196903	6.151196903	18.45359071	2.636227244	9.226795354	6.999637855	13.28658531	6.920096516	8.517041865	8.20159587	7.908681732	17.03408373	7.176396387	13.97999296	10.76459458	8.153912173	12.30239381	14.56862424	11.99483396	4.613397677	20.13118986	12.30239381	8.947195495	9.803470064	15.47720511	11.70227703	10.60099892
Psat1	19.68383009	15.61457675	22.00235815	14.44194055	14.76287257	15.99311195	5.827449697	16.14689187	21.08981795	13.07129342	13.84019303	12.50081951	15.6855521	9.226795354	27.68038606	12.30239381	15.37799226	11.07215442	15.81736346	14.76287257	14.63560642	16.23915982	10.38014477	12.7755628	14.35279277	22.40793157	19.87309769	9.226795354	8.387995776	13.84019303	8.583065446	31.52488413	18.45359071	22.14430885	29.9870849	23.48638817	32.80638348	25.16398733	35.17715729	12.50081951	32.85639321	25.12829373
Apol10a	13.53263319	9.226795354	9.226795354	12.03495046	8.611675664	12.30239381	7.76993293	16.14689187	6.59056811	11.53349419	1.537799226	13.09609663	10.14947489	24.60478761	9.226795354	6.151196903	6.151196903	7.381436283	7.908681732	16.60823164	10.18129143	14.02472894	17.30024129	11.35605582	10.25199484	13.18113622	11.35605582	6.663796645	8.947195495	6.920096516	7.295605629	13.84019303	12.62614101	9.226795354	5.766747096	10.06559493	11.61892748	7.828796058	12.1101689	8.333879675	15.30297766	10.99362851
Dock9	18.45359071	16.32433024	24.84137211	20.05825077	25.83502699	18.45359071	18.45359071	16.14689187	15.81736346	17.6846911	16.91579148	22.02525343	22.14430885	18.45359071	12.9175135	20.50398968	19.99138993	14.76287257	13.18113622	12.9175135	21.63524428	23.62059611	24.2203378	11.35605582	16.40319174	18.45359071	26.97063257	23.06698839	25.72318705	16.14689187	21.88681689	13.84019303	28.16600687	21.22162931	21.91363897	13.42079324	22.55438864	15.65759212	25.37368722	28.57330174	19.80385344	18.06096112
Rgs18	12.30239381	14.90482326	17.74383722	16.84893065	12.30239381	17.22335133	10.68365778	23.06698839	15.81736346	16.14689187	18.45359071	10.71498815	8.304115819	15.37799226	11.07215442	24.60478761	10.76459458	22.14430885	5.272454488	16.60823164	20.36258285	14.02472894	20.76028955	14.19506978	14.35279277	6.59056811	9.936548843	10.25199484	12.30239381	13.07129342	9.870525263	11.53349419	12.62614101	16.60823164	12.68684361	21.80878902	14.35279277	12.86159352	16.14689187	7.143325435	13.50262735	14.9199244
