ProbeName	ProbeDisplayName	TargetName	HUGOSymbol	Accessions	GenomeBuild	GenomicPosition	GlobalOutlier	GlobalOutlierReason	OutlierFrequency	GeneID
16282	Ccdc141_01	Ccdc141	Ccdc141	"XM_006499916.4,XM_006499914.4,NM_001025576.3,XM_017319133.2,XM_006499913.4,XM_006499912.3,XM_006499917.4,XR_003953673.1,XR_001783148.2,XM_006499911.4"	GRCm38.p6	chr2:77128238-77128279	False		0	545428
18924	Eogt_01	Eogt	Eogt	"NM_175313.5,XM_006505258.4,XR_377399.3,XM_011241108.3"	GRCm38.p6	chr6:97113918-97113959	False		0	101351
28625	Rps19_01	Rps19	Rps19	"NM_023133.2,NM_001360115.1,NM_001360118.1,NM_001360119.1,NM_001360116.1,NR_153409.1,NR_153408.1,NM_001360128.1,NM_001360125.1"	GRCm38.p6	chr7:24888911-24888945	False		0	20085
20978	Gpr4_01	Gpr4	Gpr4	NM_175668.4	GRCm38.p6	chr7:19222335-19222372	False		0	319197
29242	Sgk3_01	Sgk3	Sgk3	"NM_001037759.1,NM_177547.3,NM_133220.2"	GRCm38.p6	chr1:9877184-9877219	False		0	170755
32081	Ttll7_01	Ttll7	Ttll7	"XM_017319722.2,NM_001302958.1,NM_001357217.1,NM_001302957.2,XM_017319721.2"	GRCm38.p6	chr3:146909587-146909628	False		0	70892
24541	Ndufb6_01	Ndufb6	Ndufb6	NM_001033305.3	GRCm38.p6	chr4:40272818-40272854	False		0	230075
33066	Yy1_01	Yy1	Yy1	"NM_009537.4,XM_006515820.4"	GRCm38.p6	chr12:108806488-108806532	False		0	22632
27470	Prmt5_01	Prmt5	Prmt5	"NM_001313906.1,NM_013768.3,NM_001313907.1"	GRCm38.p6	chr14:54512118-54512153	False		0	27374
22071	Ipo7_01	Ipo7	Ipo7	"NM_181517.5,NM_001362172.2"	GRCm38.p6	chr7:110042070-110042105	False		0	233726
29960	Sncb_01	Sncb	Sncb	"NM_001362407.1,XM_030247080.1,NM_033610.3"	GRCm38.p6	chr13:54765634-54765668	False		0	104069
24629	Nfasc_01	Nfasc	Nfasc	"XM_030254536.1,XM_017320900.1,XR_001784700.2,NM_182716.4,XM_011248024.3,XM_030254549.1,XM_011248025.3,XM_011248020.3,XM_017320909.2,XM_011248021.1,XM_011248018.2,XM_011248026.2,XM_030254547.1,XM_030254517.1,XM_006529646.3,XM_011248023.1,XM_006529651.3,XM_030254572.1,NM_001160318.1,NM_001160316.1,NM_001160317.1,XM_006529635.4,XM_006529653.4,XM_030254521.1,XM_030254557.1,XM_011248013.3,XM_030254559.1,XM_011248012.2,XM_030254571.1,XM_011248011.2,XM_006529644.3,XM_011248015.2,XM_006529639.4,XM_011248014.2,XM_006529634.3,XM_011248017.2,XM_011248016.1,XR_387171.4,XM_030254551.1,XM_017320902.1,XM_017320903.2,XM_030254565.1,XM_030254562.1,XM_011248019.1"	GRCm38.p6	chr1:132611609-132611644	False		0	269116
24820	Nos1ap_01	Nos1ap	Nos1ap	"NR_154593.1,NM_001109985.2"	GRCm38.p6	chr1:170390753-170390788	False		0	70729
17608	Csnk2a1_01	Csnk2a1	Csnk2a1	"XM_030247076.1,XM_006498657.4,NM_007788.3,XM_030247075.1,XM_030247074.1,XM_011239272.3"	GRCm38.p6	chr2:152250523-152250558	False		0	12995
19223	Fam131a_01	Fam131a	Fam131a	"XM_017317161.2,XM_006522738.4,XM_006522741.4,XM_006522740.4,XM_006522742.4,XM_030249332.1,NM_133778.2"	GRCm38.p6	chr16:20699681-20699720	False		0	78408
24275	Myh11_01	Myh11	Myh11	"NM_013607.2,XM_006521843.2,XM_006521844.2,NM_001161775.1,XM_006521845.1"	GRCm38.p6	chr16:14212662-14212697	False		0	17880
22778	Lamb1_01	Lamb1	Lamb1	"XM_006514992.3,XM_006514993.1,NM_008482.3"	GRCm38.p6	chr12:31269119-31269162	False		0	16777
21129	Gstp1_01	Gstp1	"Gstp2,Gstp1"	"NM_013541.1,NM_181796.2"	GRCm38.p6	"chr19:4035480-4035514,chr19:4040358-4040392"	False		0	14869
21407	Helz2_01	Helz2	Helz2	"NM_183162.2,XM_006500599.3,XR_003952779.1,XM_006500601.3"	GRCm38.p6	chr2:181240848-181240883	False		0	229003
23440	Mapre1_01	Mapre1	Mapre1	NM_007896.3	GRCm38.p6	chr2:153746262-153746305	False		0	13589
22490	Kif5b_01	Kif5b	Kif5b	NM_008448.3	GRCm38.p6	chr18:6241056-6241093	False		0	16573
30764	Tardbp_01	Tardbp	Tardbp	"NM_145556.4,NM_001008546.2,NR_027864.1,NM_001305425.1,NM_001008545.2,NR_149751.1,NR_131120.1,NM_001003899.2,XR_390742.4,NM_001003898.3"	GRCm38.p6	chr4:148620592-148620627	False		0	230908
15032	Apba1_01	Apba1	Apba1	"XM_006527139.4,XM_006527140.4,NM_177034.3,XM_030250967.1,XM_030250969.1,XM_030250968.1"	GRCm38.p6	chr19:23893894-23893929	False		0	319924
17918	D8Ertd738e_01	D8Ertd738e	D8Ertd738e	"XM_017312495.1,NM_001007571.2"	GRCm38.p6	chr8:84249658-84249692	False		0	101966
27805	Pwp1_01	Pwp1	Pwp1	NM_133993.3	GRCm38.p6	chr10:85876310-85876353	False		0	103136
29880	Smg9_01	Smg9	Smg9	"XM_030243003.1,XM_006540377.1,NM_028047.2,XM_006540378.4"	GRCm38.p6	chr7:24420624-24420659	False		0	71997
32414	Usp25_01	Usp25	Usp25	"XM_006523055.3,XM_006523056.3,XM_006523057.1,NM_013918.2"	GRCm38.p6	chr16:77069080-77069115	False		0	30940
30309	Srprb_01	Srprb	Srprb	NM_009275.4	GRCm38.p6	chr9:103201344-103201381	False		0	20818
19530	Fer_01	Fer	Fer	"NM_008000.2,XM_006523647.4,XR_003952085.1,XR_003952084.1,XM_006523643.4,XM_006523640.4,XR_385281.4,XM_017317242.2,XR_385280.4,XM_030249496.1,XM_006523645.4,XM_017317244.1,XR_003952086.1,XM_006523641.4,XR_003952087.1,XM_011246293.3,NM_001286415.1,XM_017317243.1,NM_001037997.3"	GRCm38.p6	chr17:63973112-63973148	False		0	14158
28397	Rmnd5b_01	Rmnd5b	Rmnd5b	NM_025346.1	GRCm38.p6	chr11:51627916-51627953	False		0	66089
28356	Rims1_01	Rims1	Rims1	"NM_183018.3,NM_001012624.2,NM_053270.2,NM_001012623.2,NM_001012625.2"	GRCm38.p6	chr1:22538539-22538582	False		0	116837
15266	Arpc5_01	Arpc5	Arpc5	NM_026369.2	GRCm38.p6	chr1:152766752-152766786	False		0	67771
20894	Gpatch8_01	Gpatch8	Gpatch8	"XM_030245977.1,XM_017314538.2,XM_006533252.2,XM_017314539.2,XM_017314542.2,XM_030245974.1,NM_001159492.1,XM_030245975.1,XM_011248998.3,XM_017314541.2,XM_006533251.2,XM_006533248.1,XM_030245976.1,XM_017314544.2"	GRCm38.p6	chr11:102507474-102507509	False		0	237943
18359	Dnajc15_01	Dnajc15	Dnajc15	NM_025384.3	GRCm38.p6	chr14:77856947-77856981	False		0	66148
26546	Pde4dip_01	Pde4dip	Pde4dip	"NM_001289701.1,NR_110360.1,NM_001039376.2,NM_001289702.1,NM_178080.4"	GRCm38.p6	chr3:97754439-97754474	False		0	83679
14333	Acadsb_01	Acadsb	Acadsb	"XR_003946541.1,NM_025826.4"	GRCm38.p6	chr7:131424504-131424547	False		0	66885
